Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Lindsey Rosin,Cherry,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administration,2022
Shelley Rotner,Shades of People,Banned in Classrooms,"Kelly, Sheila M.",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Madeleine Roux,House of Furies (House of Furies Series),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Rainbow Rowell,Any Way the Wind Blows (Simon Snow Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Rainbow Rowell,Carry On (Simon Snow Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Rainbow Rowell,Eleanor & Park,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Rainbow Rowell,Eleanor & Park,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Rainbow Rowell,Eleanor & Park,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Rainbow Rowell,Eleanor & Park,Banned in Libraries,,,,Tennessee,Wilson County School District,March 2022,Other,2022
Rainbow Rowell,Eleanor & Park,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Rainbow Rowell,Wayward Son (Simon Snow Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Arundhati Roy,The God of Small Things,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Seth Rudetsky,My Awesome/Awful Popularity Plan (Justin Goldblatt Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Katheryn Russell-Brown,Little Melba and Her Big Trombone,Banned in Classrooms,,"Morrison, Frank",,Pennsylvania,Central York School District,August 2021,Administration,2021
Meredith Russo,Birthday,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Meredith Russo,Birthday,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Meredith Russo,If I Was Your Girl,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Meredith Russo,If I Was Your Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Meredith Russo,If I Was Your Girl,Banned Pending Investigation,,,,Washington,Kent School District,January 2022,Administration,2022
Marie Rutkoski,The Midnight Lie (Forgotten Gods Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Marie Rutkoski,The Midnight Lie (Forgotten Gods Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
A. B. Rutledge,Miles Away from You,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
A. B. Rutledge,Miles Away from You,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
P. E. Ryan,Saints of Augustine,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Pam Muñoz Ryan,Esperanza Rising,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Sara Ryan,Empress of the World (Battle Hall Davies Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tom Ryan,I Hope You're Listening,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Tom Ryan,I Hope You're Listening,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tom Ryan,When You Get the Chance,Banned Pending Investigation,"Stevenson, Robin",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Robyn Ryle,"She/He/They/Me: For the Sisters, Misters, and Binary Resisters",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Layla F. Saad,"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Francene Sabin,"Elizabeth Blackwell, the First Woman Doctor",Banned in Classrooms,,"Early Macken, JoAnn",,Pennsylvania,Central York School District,August 2021,Administration,2021
Aisha Saeed,Amal Unbound,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Aisha Saeed,Bilal Cooks Daal,Banned in Classrooms,,"Syed, Anoosha",,Pennsylvania,Central York School District,August 2021,Administration,2021
Benjamin Alire Sáenz,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Benjamin Alire Sáenz,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Benjamin Alire Sáenz,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Benjamin Alire Sáenz,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Benjamin Alire Sáenz,Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Benjamin Alire Sáenz,The Inexplicable Logic of My Life,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Lindsey Sagar,The Story of Rap,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Aida Salazar,The Moon Within,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Aida Salazar,The Moon Within,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Aida Salazar,The Moon Within,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Melinda Salisbury,Hold Back the Tide,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Steven Salvatore,Can't Take That Away,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
San Francisco Writers' Grotto,642 Things to Write About,Banned in Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administration,2021
Alex Sanchez,Bait,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Alex Sanchez,Getting It,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Alex Sanchez,Rainbow Boys (Rainbow Trilogy Series),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Alex Sanchez,Rainbow Boys (Rainbow Trilogy Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Alex Sanchez,Rainbow High (Rainbow Trilogy Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Alex Sanchez,Rainbow Road (Rainbow Trilogy Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Alex Sanchez,So Hard to Say,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Alex Sanchez,You Brought Me the Ocean,Banned Pending Investigation,,"Maroh, Julie",,Tennessee,Collierville Schools,February 2022,Administration,2022
Erika L. Sánchez,I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Erika L. Sánchez,I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Erika L. Sánchez,I Am Not Your Perfect Mexican Daughter,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Erika L. Sánchez,I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Jasper Sanchez,The (Un)Popular Vote,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Rob Sanders,Peaceful Fights for Equal Rights,Banned in Classrooms,,"Schorr, Jared Andrew",,Pennsylvania,Central York School District,August 2021,Administration,2021
Rob Sanders,Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,,"Salerno, Steven",,Florida,Duval County Public Schools,January 2022,Administration,2022
Rob Sanders,Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,,Idaho,Bonneville Joint School District No 93,April 2022,Formal Challenge,2022
Rob Sanders,Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Classrooms,,"Salerno, Steven",,Pennsylvania,Central York School District,August 2021,Administration,2021
Rob Sanders,Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,,"Salerno, Steven",,Texas,North East Independent School District,December 2021,Administration,2021
Rob Sanders,Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,2022
Rob Sanders,Stonewall: A Building. An Uprising. A Revolution.,Banned Pending Investigation,,"Christoph, Jamey",,Florida,Duval County Public Schools,January 2022,Administration,2022
Doris Sanford,Something Must Be Wrong with Me: A Boy's Book about Sexual Abuse,Banned Pending Investigation,,"Evans, Graci",,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Emily Sanna,Gay Believers: Homosexuality and Religion,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sol Santana,Just Ash,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
V. S. Santoni,I'm A Gay Wizard,Banned Pending Investigation,,,,Virginia,Henrico County Public Schools,November 2021,Administration,2021
Sapphire,Push,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
A. J. Sass,Ana on the Edge,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Marjane Satrapi,Persepolis: The Story of a Childhood,Banned Pending Investigation,,,,Pennsylvania,Franklin Regional School District,March 2022,Administration,2022
Marjane Satrapi,Persepolis: The Story of a Childhood,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Dan Savage,"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Banned Pending Investigation,"Miller, Terry",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Dan Savage,"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Banned Pending Investigation,"Miller, Terry",,,Texas,Klein Independent School District,December 2021,Administration,2021
Liz Garton Scanlon,All the World,Banned in Classrooms,,"Frazee, Marla",,Pennsylvania,Central York School District,August 2021,Administration,2021
Kate Scelsa,Fans of the Impossible Life,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Teresa Schaeffer,The Questions Within (Cutting Edge Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Julia Scheeres,Jesus Land: A Memoir,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Julia Scheeres,Jesus Land: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Miriam B. Schiffer,Stella Brings the Family,Banned in Libraries and Classrooms,,"Clifton-Brown, Holly",,Florida,Broward County Public Schools,June 2022,Administration,2022
Miriam B. Schiffer,Stella Brings the Family,Banned Pending Investigation,,"Clifton-Brown, Holly",,Florida,Duval County Public Schools,January 2022,Administration,2022
Lillian Schlissel,Black Frontiers: A History of African American Heroes in the Old West,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Pat Schmatz,Lizard Radio,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tiffany Schmidt,Get a Clue (Bookish Boyfriends Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Daphne Scholinski,The Last Time I Wore a Dress,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Eliot Schrefer,The Darkness Outside Us,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Michelle Schusterman,Spotlight on Coding Club! (Girls Who Code Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
V. E. Schwab,The Invisible Life of Addie LaRue,Banned in Libraries,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge,2022
Karen Schwabach,The Hope Chest,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administration,2021
Alvin Schwartz,Scary Stories to Tell in the Dark,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Heather E. Schwartz,Locked Up for Freedom: Civil Rights Protesters at the Leesburg Stockade,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Chloe Schwenke,SELF-ish: A Transgender Awakening,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ann Herbert Scott,On Mother's Lap,Banned Pending Investigation,,"Coalson, Glo",,Florida,Duval County Public Schools,January 2022,Administration,2022
Elizabeth Scott,Living Dead Girl,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Elizabeth Scott,Living Dead Girl,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Elizabeth Scott,Living Dead Girl,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Elizabeth Scott,Living Dead Girl,Banned Pending Investigation,,,,Missouri,Rockwood School District,March 2022,Formal Challenge,2022
Alice Seabold,Lucky,Banned in Libraries and Classrooms,,,,Virginia,Virginia Beach City Public Schools,May 2022,Formal Challenge,2022
Jaime A. Seba,Coming Out: Telling Family and Friends,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,Gay and Lesbian Role Models,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,"Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Jaime A. Seba,"Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,"Gay People of Color: Facing Prejudices, Forging Identities",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,"Gays and Mental Health: Fighting Depression, Saying No to Suicide",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,"Homosexuality Around the World: Safe Havens, Cultural Challenges",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jaime A. Seba,The LGBT Community,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Laura Sebastian,Ember Queen (Ash Princess Trilogy Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Alice Sebold,Lucky,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Alice Sebold,Lucky,Banned Pending Investigation,,,,Florida,Clay County District Schools,June 2022,Administration,2022
Alice Sebold,Lucky,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administration,2021
Alice Sebold,Lucky,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Alice Sebold,Lucky,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge,2022
Alice Sebold,The Lovely Bones,Banned in Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Pete Seeger,The Deaf Musicians,Banned in Classrooms,"Jacobs, Paul DuBois","Christie, R. Gregory",,Pennsylvania,Central York School District,August 2021,Administration,2021
Surishtha Sehgal,Festival of Colors,Banned Pending Investigation,"Sehgal, Kabir","Harrison, Vashti",,Florida,Duval County Public Schools,January 2022,Administration,2022
Jeffery Self,"A Very, Very Bad Thing",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Adam Selzer,Just Kill Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ruta Sepetys,Between Shades of Gray,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Ruta Sepetys,Out of the Easy,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Dr. Seuss,Ven a Mi Casa,Banned in Classrooms,,"Kath, Katie","Lázaro, Georgina",Pennsylvania,Central York School District,August 2021,Administration,2021
Chloe Shantz-Hilkes,My Girlfriend's Pregnant!: A Teen’s Guide to Becoming a Dad,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Robert Sharenow,The Berlin Boxing Club,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Tess Sharpe,Far from You,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Tess Sharpe,Far from You,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tess Sharpe,The Girls I've Been,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Susan Shaw,Safe,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Tucker Shaw,The Hookup Artist,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sara Shepard,Flawless (Pretty Little Liars Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Sara Shepard,Influence,Banned Pending Investigation,"Buckingham, Lilia",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Jill Sherman,25 Women Who Fought Back,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Jill Sherman,25 Women Who Thought of It First,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Brent R. Sherrard,Final Takedown,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Margot Lee Shetterly,Hidden Figures: The True Story of Four Black Women and the Space Race,Banned in Classrooms,"Conkling, Winifred","Freeman, Laura",,Pennsylvania,Central York School District,August 2021,Administration,2021
Neal Shusterman,Game Changer,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Laura Sibson,Edie in Between,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ronnie Sidney II,Nelson Beats The Odds,Banned in Classrooms,,"Van Wagoner, Traci",,Pennsylvania,Central York School District,August 2021,Administration,2021
Ronnie Sidney II,Tameka's New Dress,Banned in Classrooms,,"Van Wagoner, Traci",,Pennsylvania,Central York School District,August 2021,Administration,2021
Mia Siegert,Somebody Told Me,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Adam Silvera,History Is All You Left Me,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Adam Silvera,History Is All You Left Me,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Adam Silvera,Infinity Reaper (Infinity Cycle Series),Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,2021
Adam Silvera,Infinity Son (Infinity Cycle Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Adam Silvera,Infinity Son (Infinity Cycle Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Adam Silvera,More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Adam Silvera,More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administration,2022
Adam Silvera,More Happy Than Not,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Adam Silvera,More Happy Than Not,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2022
Adam Silvera,More Happy Than Not,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Adam Silvera,More Happy Than Not,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Adam Silvera,More Happy Than Not,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Adam Silvera,More Happy Than Not,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Adam Silvera,They Both Die at the End,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Adam Silvera,They Both Die at the End,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Adam Silvera,They Both Die at the End,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Cory Silverberg,"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned Pending Investigation,,"Smyth, Fiona",,Florida,Walton County School District,April 2022,Administration,2022
Cory Silverberg,"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned in Libraries and Classrooms,,"Smyth, Fiona",,Texas,Frisco Independent School District,May 2022,Administration,2022
Erica Silverman,Jack (Not Jackie),Banned in Classrooms,,"Hatam, Holly",,Pennsylvania,Central York School District,August 2021,Administration,2021
Tara Sim,Chainbreaker (Timekeeper Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tara Sim,Firestarter (Timekeeper Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Tara Sim,Firestarter (Timekeeper Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Rae Simons,"Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
S. J. Sindu,Marriage of a Thousand Lies,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Glenn E. Singleton,Courageous Conversations About Race: A Field Guide for Achieving Equity in Schools and Beyond,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Emily Skrutskie,Bonds of Brass,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Emily Skrutskie,The Edge of the Abyss (The Abyss Surrounds Us Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Suzanne Slade,Climbing Lincoln's Steps: The African American Journey,Banned Pending Investigation,,"Bootman, Colin",,Florida,Duval County Public Schools,January 2022,Administration,2022
Suzanne Slade,Exquisite: The Poetry and Life of Gwendolyn Brooks,Banned in Classrooms,,"Cabrera, Cozbi A.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Dashka Slater,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,,Wisconsin,Oconomowoc Area School District,May 2022,Formal Challenge,2022
Christine E. Sleeter,"Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research",Banned in Classrooms,"Zavala, Miguel",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Holly Goldberg Sloan,To Night Owl from Dogfish,Banned Pending Investigation,"Wolitzer, Meg",,,Florida,Duval County Public Schools,January 2022,Administration,2022
Holly Goldberg Sloan,To Night Owl from Dogfish,Banned in Classrooms,"Wolitzer, Meg",,,North Carolina,Wilkes County School District,June 2022,Administration,2022
Zack Smedley,Deposing Nathan,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Zack Smedley,Tonight We Rule the World,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Amber Smith,Something Like Gravity,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Amber Smith,The Last to Let Go,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Amber Smith,The Last to Let Go,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Amber Smith,The Way I Used to Be,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Andrew Smith,Grasshopper Jungle (Grasshopper Jungle Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Andrew Smith,Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Andrew Smith,Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Andrew Smith,Grasshopper Jungle (Grasshopper Jungle Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Andrew Smith,Stick,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Heather Smith,Chicken Girl,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Heather Smith,Chicken Girl,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administration,2022
Mychal Denzel Smith,"Invisible Man, Got the Whole World Watching: A Young Black Man's Education",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Niki Smith,The Deep & Dark Blue,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ciara Smyth,Not My Problem,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Ciara Smyth,Not My Problem,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ciara Smyth,The Falling in Love Montage,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Dianne Snyder,The Boy of the Three-Year Nap,Banned Pending Investigation,,"Say, Allen",,Florida,Duval County Public Schools,January 2022,Administration,2022
Akiba Solomon,How We Fight White Supremacy,Banned in Classrooms,"Rankin, Kenrya",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrew Solomon,Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Banned Pending Investigation,"Calkhoven, Laurie",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Andrew Solomon,Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,Banned Pending Investigation,"Calkhoven, Laurie",,,Texas,North East Independent School District,December 2021,Administration,2021
Andrew Solomon,"Far From the Tree: Parents, Children and the Search for Identity",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Carl Sommer,SEX: If You're Scared of The Truth Don't Read This!,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Carl Sommer,SEX: If You're Scared of The Truth Don't Read This!,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sonya Sones,One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Sonya Sones,One of Those Hideous Books Where the Mother Dies,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
