Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Eva Apelqvist,LGBTQ Families: The Ultimate Teen Guide,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Katherine Applegate,Wishtree,Banned in Libraries and Classrooms,,"Santoso, Charles",,Florida,Indian River County School District,November 2021,Administration,2021
Jennifer L. Armentrout,Meet Cute: Some People Are Destined to Meet,Banned Pending Investigation,"Clayton, Dhonielle; Cotugno, Katie; Davies, Jocelyn; LaCour, Nina; Lord, Emery; McGee, Katharine; Morgan, Kass; Russo, Meredith; Shepard, Sara; Yoon, Nicola; Zoboi, Ibi; Murphy, Julie",,,Texas,Granbury Independent School District,January 2022,Administration,2022
Elana K. Arnold,A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administration,2021
Elana K. Arnold,Bat and the End of Everything (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administration,2021
Elana K. Arnold,Bat and the Waiting Game (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administration,2021
Elana K. Arnold,Damsel,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Elana K. Arnold,Infandous,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Elana K. Arnold,Infandous,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Elana K. Arnold,Red Hood,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Elana K. Arnold,What Girls Are Made Of,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Elana K. Arnold,What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administration,2022
Elana K. Arnold,What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,May 2022,Administration,2022
Inio Asano,A Girl on the Shore,Banned in Libraries and Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administration,2021
Jay Asher,Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jay Asher,Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge,2022
Jay Asher,Thirteen Reasons Why,Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,2021
Jay Asher,Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Jay Asher,Thirteen Reasons Why,Banned in Libraries,,,,Texas,Katy Independent School District,October 2021,Administration,2021
Atinuke,Anna Hibiscus (Anna Hibiscus Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Dean Atta,The Black Flamingo,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Dean Atta,The Black Flamingo,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Dean Atta,The Black Flamingo,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale,Banned in Libraries,,,,Georgia,Forsyth County Schools,January 2022,Administration,2022
Margaret Atwood,The Handmaid's Tale,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
