Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
Looking for Alaska,John Green,,,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
Crank,Ellen Hopkins,,,,Crank,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
Identical,Ellen Hopkins,,,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
Traffick,Ellen Hopkins,,,,Tricks,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
Boy Toy,Barry Lyga,,,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
"I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope",Chessy Prout,,,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
Living Dead Girl,Elizabeth Scott,,,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Banned,Administration,2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,,"Forney, Ellen",,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned pending investigation,Administration,2023
Water for Elephants,Sara Gruen,,,,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned,Administration,2023
Sold,Patricia McCormick,,,,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned,Administration,2023
Asking for It,Louise O'Neill,,,,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned,Administration,2023
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned,Administration,2023
Living Dead Girl,Elizabeth Scott,,,,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned,Administration,2023
Speak,Laurie Halse Anderson,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Thirteen Reasons Why,Jay Asher,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Extremely Loud and Incredibly Close,Jonathan Safran Foer,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
The Kite Runner,Khaled Hosseini,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Kingdom of Ash,Sarah J. Maas,,,,Throne of Glass,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Living Dead Girl,Elizabeth Scott,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Lucky (AS),Alice Sebold,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
Slaughterhouse-Five,Kurt Vonnegut Jr.,,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,2023
What Girls Are Made Of,Elana K. Arnold,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Yolk,Mary H.K. Choi,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Flamer,Mike Curato,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
The Nerdy and the Dirty,B. T. Gottfred,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Water for Elephants,Sara Gruen,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Crank,Ellen Hopkins,,,,Crank,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Identical,Ellen Hopkins,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Perfect (EH),Ellen Hopkins,,,,Impulse,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Tricks,Ellen Hopkins,,,,Tricks,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,,,,Hamilton High,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Furyborn,Claire Legrand,,,,Empirium,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Boy Toy,Barry Lyga,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,,,,The Wicked Years,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Sold,Patricia McCormick,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
The Female of the Species,Mindy McGinnis,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
"l8r, g8r",Lauren Myracle,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Out of Darkness,Ashley Hope Pérez,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Rainbow Boys,Alex Sanchez,,,,Rainbow Trilogy,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Living Dead Girl,Elizabeth Scott,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
The Hate U Give,Angie Thomas,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
"Everything, Everything",Nicola Yoon,,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,2024
Lawn Boy (JE),Jonathan Evison,,,,,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
Melissa (George),Alex Gino,,,,,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
Looking for Alaska,John Green,,,,,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
Paper Towns,John Green,,,,,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
Julián Is a Mermaid,Jessica Love,,,,Julián,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
A Court of Mist and Fury,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
A Court of Thorns and Roses,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
A Court of Wings and Ruin,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
The Falls,Joyce Carol Oates,,,,,Iowa,Glenwood Community School District,June 2024,Banned pending investigation,Administration,2024
Out of Darkness,Ashley Hope Pérez,,,,,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
Drama: A Graphic Novel,Raina Telgemeier,,,,,Iowa,Glenwood Community School District,June 2024,Banned,Administration,2024
Thirteen Reasons Why,Jay Asher,,,,,Iowa,Griswold Community Schools,October 2023,Banned,Administration,2023
Shout,Laurie Halse Anderson,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Speak,Laurie Halse Anderson,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Wintergirls,Laurie Halse Anderson,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
I Know Why The Caged Bird Sings,Maya Angelou,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Handmaid's Tale,Margaret Atwood,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Laughing at My Nightmare,Shane Burcaw,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Felix Ever After,Kacen Callender,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
A Stolen Life,Jaycee Dugard,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
How Moon Fuentez Fell in Love with the Universe,Raquel Vazquez Gilliland,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Looking for Alaska,John Green,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Ordinary Hazards,Nikki Grimes,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Water for Elephants,Sara Gruen,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Without Merit,Colleen Hoover,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Crank,Ellen Hopkins,,,,Crank,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Fallout,Ellen Hopkins,,,,Crank,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Glass,Ellen Hopkins,,,,Crank,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Traffick,Ellen Hopkins,,,,Tricks,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Tricks,Ellen Hopkins,,,,Tricks,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Kite Runner,Khaled Hosseini,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Grown,Tiffany D. Jackson,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Being Jazz: My Life as a (Transgender) Teen,Jazz Jennings,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
It,Stephen King,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Girl with the Dragon Tattoo,Stieg Larsson,,,"Keeland, Reg",A Lisbeth Salander Novel,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Love in the Time of Global Warming,Francesca Lia Block,,,,Love in the Time of Global Warning,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Last Night at the Telegraph Club,Malinda Lo,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
A Court of Mist and Fury,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
A Court of Thorns and Roses,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
A Court of Wings and Ruin,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Queen of Shadows,Sarah J. Maas,,,,Throne of Glass,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Tower of Dawn,Sarah J. Maas,,,,Throne of Glass,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
A Game of Thrones,George R. R. Martin,,,,A Song of Ice and Fire,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Sold,Patricia McCormick,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Beloved,Toni Morrison,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Song of Solomon,Toni Morrison,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Sula,Toni Morrison,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Bluest Eye,Toni Morrison,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Where the Crawdads Sing,Delia Owens,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
When I was Puerto Rican: A Memoir,Esmeralda Santiago,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Jesus Land: A Memoir,Julia Scheeres,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Living Dead Girl,Elizabeth Scott,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Lovely Bones,Alice Sebold,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Stitches: A Memior,David Small,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
The Art of Racing in the Rain,Garth Stein,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Concrete Rose,Angie Thomas,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Y: The Last Man,Brian K. Vaughan,,"Guerra, Pia; Marzan Jr., Jose",,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Spinning,Tillie Walden,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Native Son,Richard Wright,,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,2024
Thirteen Reasons Why,Jay Asher,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
The Handmaid's Tale,Margaret Atwood,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Ready or Not,Meg Cabot,,,,All-American Girl,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
"House of Night (Series, Title not Specified)",P. C. Cast,"Cast, Kristin",,,House of Night,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
The Miseducation of Cameron Post,Emily M. Danforth,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
A Stolen Life,Jaycee Dugard,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
As I Lay Dying,William Faulkner,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Gone Girl,Gillian Flynn,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Looking for Alaska,John Green,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Water for Elephants,Sara Gruen,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Identical,Ellen Hopkins,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
The Kite Runner,Khaled Hosseini,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Brave New World,Aldous Huxley,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Sold,Patricia McCormick,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
#MurderFunding,Gretchen McNeil,,,,#MurderTrending,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Beloved,Toni Morrison,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
The List,Siobhan Vivian,,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,2023
Speak,Laurie Halse Anderson,,,,,Iowa,Hudson Community School District,October 2023,Banned,Administration,2023
Sold,Patricia McCormick,,,,,Iowa,Hudson Community School District,October 2023,Banned,Administration,2023
The Bluest Eye,Toni Morrison,,,,,Iowa,Hudson Community School District,October 2023,Banned,Administration,2023
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Hudson Community School District,October 2023,Banned,Administration,2023
Living Dead Girl,Elizabeth Scott,,,,,Iowa,Hudson Community School District,October 2023,Banned,Administration,2023
The Hate U Give,Angie Thomas,,,,,Iowa,Hudson Community School District,October 2023,Banned,Administration,2023
Me and Earl and the Dying Girl,Jesse Andrews,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Haters,Jesse Andrews,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Handmaid's Tale,Margaret Atwood,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Taliban Shuffle: Strange Days in Afghanistan and Pakistan,Kim Barker,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Forever...,Judy Blume,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Ready or Not,Meg Cabot,,,,All-American Girl,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Flamer,Mike Curato,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Carnival at Bray,Jessie Ann Foley,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Looking for Alaska,John Green,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Water for Elephants,Sara Gruen,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Identical,Ellen Hopkins,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Tilt (EH),Ellen Hopkins,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Kite Runner,Khaled Hosseini,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Their Eyes Were Watching God,Zora Neale Hurston,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Brave New World,Aldous Huxley,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Flowers for Algernon,Daniel Keyes,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Long Walk,Stephen King,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Two Boys Kissing,David Levithan,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Last Night at the Telegraph Club,Malinda Lo,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Female of the Species,Mindy McGinnis,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Breaking Dawn,Stephenie Meyer,,,,Twilight Saga,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Beloved,Toni Morrison,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Song of Solomon,Toni Morrison,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Bluest Eye,Toni Morrison,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Monster,Walter Dean Myers,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Infinite Moment of Us,Lauren Myracle,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Breathless (JN),Jennifer Niven,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
1984,George Orwell,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Nineteen Minutes,Jodi Picoult,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Good Girls Revolt: How the Women of Newsweek Sued their Bosses and Changed the Workplace,Lynn Povich,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Nowhere Girls,Amy Reed,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Go Ask Alice,Beatrice Sparks,Anonymous,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Hate U Give,Angie Thomas,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Color Purple,Alice Walker,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
The Glass Castle,Jeannette Walls,,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,2023
Speak,Laurie Halse Anderson,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
The Haters,Jesse Andrews,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Damsel,Elana K. Arnold,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Red Hood,Elana K. Arnold,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Thirteen Reasons Why,Jay Asher,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Pet,Akwaeke Emezi,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned by restriction,Administration,2024
Lily and Dunkin,Donna Gephart,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned by restriction,Administration,2024
Ordinary Hazards,Nikki Grimes,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Regretting You,Colleen Hoover,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Without Merit,Colleen Hoover,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Identical,Ellen Hopkins,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Tricks,Ellen Hopkins,,,,Tricks,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
A Thousand Splendid Suns,Khaled Hosseini,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
We Are the Ants,Shaun David Hutchinson,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Milk and Honey,Rupi Kaur,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Furyborn,Claire Legrand,,,,Empirium,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Kingsbane,Claire Legrand,,,,The Empirium Trilogy,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Lightbringer,Claire Legrand,,,,The Empirium Trilogy,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
A Court of Frost and Starlight,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
A Court of Mist and Fury,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
A ​Court of Silver Flames,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
A Court of Thorns and Roses,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
A Court of Wings and Ruin,Sarah J. Maas,,,,A Court of Thorns and Roses,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Sold,Patricia McCormick,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Blood Water Paint,Joy McCullough,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
The Female of the Species,Mindy McGinnis,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
Like a Love Story,Abdi Nazemian,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
All the Bright Places,Jennifer Niven,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Dashka Slater,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned by restriction,Administration,2024
The Color Purple,Alice Walker,,,,,Iowa,Interstate 35 Community School District,June 2024,Banned,Administration,2024
American Roommate Experiment,Elena Armas,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Spanish Love Deception,Elena Armas,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Damsel,Elana K. Arnold,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Thirteen Reasons Why,Jay Asher,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
The Handmaid's Tale,Margaret Atwood,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,,"Nault, Renee",,,Iowa,Iowa City Community School District,October 2023,Banned,Administration,2023
Forever...,Judy Blume,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Echo Brown,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",Faith Hickman Brynie,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Laughing at My Nightmare,Shane Burcaw,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
The Rape of Nanking: The Forgotten Holocaust of World War II,Iris Chang,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
The Charm Offensive,Alison Cochrun,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
This Book Is Gay,Juno Dawson,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Stardust,Neil Gaiman,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Not That Bad: Dispatches from Rape Culture,Roxane Gay,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Making Sexual Decisions: The Ultimate Teen Guide,L. Kris Gowen,,,,It Happened To Me,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Icebreaker (HG),Hannah Grace,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Looking for Alaska,John Green,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Ordinary Hazards,Nikki Grimes,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Water for Elephants,Sara Gruen,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Homegoing,Yaa Gyasi,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Boyfriend Material,Alexis Hall,,,,Boyfriend Material,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
The Love Hypothesis,Ali Hazelwood,,,,The Love Hypothesis,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Beach Read,Emily Henry,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
It Ends With Us,Colleen Hoover,,,,It Ends with Us,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
It Starts With Us,Colleen Hoover,,,,It Ends with Us,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Ugly Love,Colleen Hoover,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Crank,Ellen Hopkins,,,,Crank,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Identical,Ellen Hopkins,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Traffick,Ellen Hopkins,,,,Tricks,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Brave Face: A Memoir,Shaun David Hutchinson,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Grown,Tiffany D. Jackson,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
All Boys Aren't Blue,George M. Johnson,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
Ulysses,James Joyce,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
It,Stephen King,,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,2023
